ID,Age,Gender,Income,Education,Region
1,62,Other,96138,Masters,East
2,65,Other,76543,PhD,East
3,71,Male,138887,Bachelors,East
4,18,Other,121643,Bachelors,South
5,21,Male,143192,Masters,East
6,77,Male,142869,High School,West
7,21,Female,125919,Masters,South
8,57,Female,140974,High School,North
9,27,Other,95040,PhD,East
10,37,Female,59105,Masters,North
11,39,Male,25241,Masters,West
12,68,Other,102293,Bachelors,West
13,54,Female,20833,Masters,East
14,41,Male,75332,High School,West
15,24,Female,34074,High School,West
16,42,Other,22073,Masters,West
17,42,Female,97772,High School,South
18,30,Other,91752,Masters,North
19,76,Other,149074,PhD,East
20,19,Female,67628,Bachelors,North
21,56,Other,121272,PhD,South
22,57,Other,130739,PhD,West
23,41,Other,50403,Bachelors,West
24,64,Other,42922,Bachelors,South
25,42,Female,108583,Bachelors,West
26,35,Other,37332,Masters,East
27,55,Other,35452,High School,East
28,43,Other,117806,Masters,North
29,31,Other,38888,High School,South
30,26,Male,114254,Masters,South
31,27,Female,58115,High School,East
32,38,Female,130627,High School,West
33,69,Male,55025,PhD,South
34,34,Female,86711,Masters,South
35,69,Male,128605,Bachelors,West
36,23,Female,107669,Masters,South
37,33,Female,70357,Bachelors,West
38,65,Other,106540,Masters,North
39,18,Male,123853,PhD,North
40,36,Male,85031,High School,West
41,53,Female,147482,Bachelors,North
42,42,Male,107471,High School,West
43,67,Other,30350,High School,West
44,69,Female,110791,High School,South
45,47,Female,85374,PhD,West
46,37,Other,58547,Masters,West
47,37,Male,54026,High School,West
48,32,Male,54669,PhD,West
49,57,Female,25042,PhD,West
50,50,Female,101473,PhD,East
51,19,Other,137675,Masters,East
52,27,Male,69746,Bachelors,East
53,75,Male,103406,High School,North
54,50,Male,83483,PhD,South
55,49,Other,49785,Bachelors,North
56,28,Other,52869,Bachelors,North
57,70,Female,47000,PhD,East
58,41,Female,73432,Masters,East
59,53,Female,34920,Bachelors,South
60,29,Female,125138,Masters,West
61,68,Male,63042,Masters,North
62,73,Male,70138,Bachelors,South
63,46,Male,61483,Bachelors,West
64,52,Male,104588,Bachelors,North
65,18,Other,121515,Masters,South
66,18,Other,30600,Masters,North
67,54,Male,59332,Bachelors,South
68,71,Female,40350,PhD,North
69,23,Male,72401,PhD,West
70,56,Female,40428,Masters,North
71,58,Other,140785,PhD,East
72,70,Other,140031,Bachelors,North
73,35,Female,138730,Masters,West
74,33,Male,58704,PhD,East
75,22,Male,106602,Masters,West
76,59,Female,113323,PhD,West
77,60,Male,100477,PhD,South
78,76,Male,123970,High School,West
79,49,Other,65770,PhD,West
80,74,Female,121836,High School,West
81,19,Male,55569,Bachelors,East
82,19,Other,27463,High School,North
83,57,Male,145296,Masters,East
84,59,Male,111658,Bachelors,West
85,75,Female,78114,High School,West
86,53,Male,111513,Bachelors,West
87,56,Other,25103,PhD,East
88,73,Male,52843,Bachelors,West
89,29,Female,21966,PhD,South
90,64,Male,137811,Masters,East
91,36,Male,141332,PhD,South
92,45,Female,130505,PhD,South
93,18,Male,24090,PhD,East
94,32,Male,56483,High School,West
95,53,Female,71472,Masters,North
96,71,Male,35679,Bachelors,West
97,30,Other,35168,PhD,South
98,75,Male,126253,Bachelors,East
99,60,Male,89414,Bachelors,South
100,38,Female,89892,PhD,East
101,29,Female,100387,High School,West
102,22,Female,143795,Masters,West
103,24,Female,73841,PhD,East
104,22,Male,88752,PhD,West
105,65,Other,87966,Masters,West
106,70,Other,84327,High School,North
107,21,Other,61624,Masters,East
108,30,Female,127787,PhD,South
109,54,Male,44726,Masters,West
110,70,Male,40028,Bachelors,South
111,58,Male,62203,Bachelors,North
112,32,Other,139426,Bachelors,West
113,33,Other,25000,High School,South
