,ProductID,BatchNumber,ProductionDate,Defective,Weight,Length
10,11,9,2023-07-21,0,484.2593452547463,14.12598457432628
15,16,12,2024-06-01,1,504.755592669052,14.164331127810897
16,17,9,2024-02-14,0,519.5027682115725,15.0490264644088
32,33,12,2024-03-27,0,506.1940717874332,17.02455008551415
42,43,2,2023-12-05,0,439.8700256998535,18.215016685020142
51,52,16,2024-02-04,0,520.6263820871325,13.864393424640951
68,69,16,2024-03-19,0,485.32366547947646,15.168675850356252
79,80,10,2024-06-14,0,500.8825819759255,14.010028580188932
98,99,2,2024-04-13,0,504.1646634142201,15.287520622433773
106,107,2,2024-06-13,0,506.005686472416,16.9333507456804
115,116,2,2024-07-09,0,470.8767110255382,19.41961117858125
119,120,16,2024-03-08,0,488.68437342908777,15.121712769055716
127,128,9,2023-08-30,0,512.0033375650459,14.78657014999004
137,138,10,2023-09-18,0,505.7801178479073,17.39425690493552
148,149,2,2023-07-24,0,484.30430541878746,15.1281153840058
187,188,12,2023-11-24,0,511.2842128078963,17.797913765254613
207,208,2,2024-06-09,0,524.4316628255197,15.090741853673492
219,220,2,2024-02-02,0,533.6691589734579,15.198136726164003
235,236,9,2023-08-12,0,488.5656193304312,14.490075583159763
238,239,12,2024-06-14,0,550.9622539563038,15.563393026646896
252,253,12,2023-11-10,0,484.8013146436418,13.899088288287505
271,272,9,2024-01-13,0,533.3089901286943,15.317335097877908
281,282,2,2024-07-01,0,535.1295728606044,14.750763965483555
287,288,16,2023-09-15,0,511.91223906589096,14.688011609406256
291,292,2,2024-06-05,0,508.2922703618253,14.569873948562758
304,305,10,2024-01-24,0,499.6188357244942,16.497523104740505
307,308,16,2024-06-15,0,509.8820605202784,12.109697677594353
332,333,9,2023-07-25,0,425.1979872409645,18.2984964837553
349,350,2,2024-03-12,0,522.0754800498738,14.47043647443797
363,364,2,2024-05-21,0,500.46423208650543,14.175309103420272
376,377,16,2023-08-27,0,499.7817132421818,16.48752592280177
387,388,12,2024-03-31,0,491.0707041733408,17.45700379224757
390,391,2,2024-06-06,0,522.5430902894309,19.012052800353985
