,Colors,satisfaction_levels,temperature,income
0,Purple,Low,57,995772
1,Red,Medium,17,315711
2,Crimson,Low,89,445829
3,Crimson,Medium,85,127952
4,Crimson,Medium,55,973395
5,Green,High,68,162315
6,Crimson,Low,98,892371
7,Yellow,High,11,369783
8,Purple,Low,98,314137
9,Red,Low,97,132579
10,Red,Low,19,620581
11,Purple,High,11,458242
12,Yellow,Medium,97,384564
13,Green,High,25,745831
14,Red,High,97,746326
15,Green,Low,95,320744
16,Green,Medium,45,180584
17,Red,Medium,6,849052
18,Green,Medium,89,614474
19,Purple,Medium,88,551377
20,Crimson,Low,38,959734
21,Red,Medium,51,684343
22,Crimson,Low,16,380775
23,Red,Low,23,755048
24,Yellow,Medium,90,897633
25,Crimson,High,3,265653
26,Red,Low,90,616745
27,Green,High,46,934425
28,Crimson,Low,29,966308
29,Crimson,Medium,2,864131
30,Crimson,Medium,5,342752
31,Red,High,71,440835
32,Green,Low,15,542165
33,Green,Medium,78,356110
34,Green,Medium,35,929375
35,Red,Medium,52,607423
36,Yellow,Low,7,930000
37,Purple,High,51,451170
38,Crimson,Low,51,952179
39,Crimson,High,29,380648
40,Yellow,High,55,566209
41,Purple,Low,11,240131
42,Yellow,High,67,928301
43,Red,Low,77,59811
44,Red,Low,55,734115
45,Purple,Low,88,483998
46,Red,Medium,68,755895
47,Purple,Medium,86,132144
48,Green,High,57,193561
49,Purple,Low,93,94665
50,Green,Low,11,391567
51,Yellow,Medium,78,313648
52,Yellow,Low,82,524591
53,Red,Medium,89,846298
54,Green,High,3,487428
55,Green,High,37,919463
56,Green,Low,7,659891
57,Green,Medium,29,237838
58,Crimson,Medium,78,283867
59,Crimson,Medium,11,447106
60,Yellow,Medium,73,420807
61,Crimson,High,11,330290
62,Red,High,16,905104
63,Crimson,High,60,724660
64,Purple,Low,63,885573
65,Green,High,59,81557
66,Yellow,Medium,1,161078
67,Purple,Low,18,668920
68,Crimson,Medium,53,71713
69,Purple,High,28,630879
70,Purple,Low,64,55444
71,Purple,Low,85,781689
72,Crimson,High,88,580810
73,Purple,Low,73,123183
74,Purple,Low,8,96904
75,Purple,Low,82,30737
76,Red,Low,11,531537
77,Purple,Low,92,694007
78,Crimson,Low,51,726713
79,Yellow,High,81,364361
80,Red,Low,55,90163
81,Green,High,15,284278
82,Green,Medium,3,988039
83,Crimson,Medium,88,57883
84,Red,Medium,85,772286
85,Red,Low,28,96107
86,Green,Medium,58,859792
87,Yellow,Medium,85,717171
88,Purple,Medium,78,806213
89,Yellow,Low,65,422556
90,Red,Medium,76,561545
91,Crimson,High,11,419514
92,Yellow,Low,25,546660
93,Yellow,Medium,11,407636
94,Red,High,90,907798
95,Green,Low,34,879423
96,Red,High,1,596367
97,Yellow,Low,16,220932
98,Yellow,Medium,1,768915
99,Crimson,High,16,793308
100,Yellow,High,33,148084
101,Crimson,Medium,33,281540
102,Yellow,Low,44,515832
103,Green,Medium,40,276062
104,Yellow,Medium,72,19359
105,Crimson,Low,77,388516
106,Crimson,High,83,185331
107,Crimson,High,32,950986
108,Yellow,High,23,156199
109,Crimson,High,68,512479
110,Purple,Medium,31,111261
111,Green,High,22,833669
112,Yellow,High,64,351845
113,Crimson,High,31,280896
114,Green,High,79,118101
115,Yellow,High,83,221113
116,Green,Low,15,474547
117,Purple,Medium,51,322768
118,Yellow,High,12,754543
119,Crimson,High,45,836565
120,Red,Medium,10,628078
121,Crimson,High,80,772112
122,Yellow,Medium,70,196225
123,Crimson,Low,21,243138
124,Red,High,94,334900
125,Red,High,67,659122
126,Red,Low,80,100928
127,Crimson,High,64,616045
128,Yellow,Low,1,94355
129,Crimson,Low,50,634226
130,Red,High,96,451898
131,Purple,Low,82,862941
132,Red,High,82,227456
133,Red,High,57,478967
134,Yellow,High,22,34777
135,Crimson,Low,15,921743
136,Yellow,Low,15,548112
137,Crimson,Low,28,269978
138,Red,Medium,71,405634
139,Red,High,27,416059
140,Red,Low,88,350922
141,Crimson,Medium,57,308367
142,Red,High,58,785867
143,Yellow,High,88,333714
144,Yellow,High,76,802953
145,Red,Medium,13,491378
146,Purple,Low,18,460110
147,Crimson,Low,78,871091
148,Purple,Low,78,106990
149,Red,Low,20,794507
150,Purple,High,71,118483
151,Crimson,High,55,393570
152,Crimson,Low,44,24254
153,Purple,Low,91,848371
154,Green,Low,44,492452
155,Crimson,Medium,15,47073
156,Red,High,87,782658
157,Red,Low,75,244907
158,Red,Low,77,950814
159,Green,Medium,29,828217
160,Red,Low,95,74570
161,Purple,High,82,90577
162,Green,Medium,4,459572
163,Crimson,Medium,28,426522
164,Green,Medium,65,571238
165,Red,Low,49,910139
166,Red,Low,49,350840
167,Purple,Low,87,757531
168,Crimson,Medium,57,254482
169,Crimson,Medium,80,895043
170,Green,High,41,875360
171,Red,Medium,90,89904
